act,u1600,d1410,d1430,d1360,d1470,d1460,u1560,u1630,d1400,u1570,u1510,d1370,u1550,d1490,d1380,d1300,u1700,u1690,d1340,u1680,d1480,u1580,u1520,u1640,d1390,u1660,u1530,d1320,u1500,d1440,u1610,u1650,d1420,u1540,d1450,d1330,u1590,d1310,u1670,d1350,u1620
29,184.9710878207629,192.98042382144183,197.29185776699114,178.28030939891318,176.0100820933049,188.5531028036716,181.27083636507822,179.42229326113852,198.9238189953025,185.1623777105631,178.9640550530955,196.63189345704697,198.1352250626476,188.4621975587663,186.89630907856065,205.3951104823074,198.63319497840942,185.36297315510382,178.72265480789324,193.20073901657418,189.07577599077956,194.3023910489061,197.49034447457768,182.81800616758878,197.36377109695766,196.1210872007154,189.44367943108304,189.28670558405452,179.6571172144269,194.9524945270529,185.04287933835113,186.92758290784545,187.75152026808402,197.31544736732047,177.03948162957067,182.4746152279927,181.45384035204572,184.12415099098212,182.86677568396397,181.7647626551363,198.00962724665825
40,0.0,348.0023443122395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0739452658908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,41.98728315185619,91.79753564173348,93.67017456246828,223.739552418478,241.71455189948634,198.90242599790255,85.66079800852631,0.0,382.7841276799152,127.67122691790955,188.68509920699367,48.11782763535451,45.27528927996927,122.61133121687624,126.69877907323472,124.7523096792766,114.38962921647655,62.92644683711799,169.95816525991694,132.11719524649914,110.17165408252094,104.99868169321994,132.57335293120383,168.8216259474337,80.59777653358677,125.30080952791849,90.04652533350685,93.63968332054283,93.40373681439667,167.21084866730632,112.8147206088037,158.13251248414647,114.24013311942528,157.1602340513187,131.64340609138665,126.4582038135877,129.26575116135015,169.3996068803902,90.97646760109681,148.74060225800173,91.85144128778457
38,191.26310978368033,208.658141130279,203.8137353728162,206.47554087207064,208.1782215571781,208.4138499069671,197.38635150233148,208.4943361389705,206.23593877798785,205.4683470653249,175.35731942928203,197.18892661342883,206.82742136385318,205.99806781298773,208.72079841207008,191.84966015790877,200.1040594905145,189.03594313745867,195.7079187878242,199.18828837233508,205.81398909693735,196.49475924600702,247.7085934284487,199.37772815098506,200.56178970767166,204.44981775699094,205.24181253345498,206.23318066595834,210.9563178200195,207.6225267272716,208.29572388216803,202.77776926072215,197.397883868436,208.71258399191066,206.49463163072647,204.67830302898176,208.45971697960604,208.31827235516926,204.67555766739406,202.64243056764613,210.7551190669625
33,30.13894972855218,32.13104923623752,43.58477082960768,32.866330320587565,34.00917342737473,33.92487041991663,34.25826012941181,32.97445146312404,34.322711941635454,30.996710190735037,31.63951772448599,33.765179953487284,34.62758550499561,34.160213307344925,30.515114042314966,32.37213580937933,34.76165344697756,32.99427490895113,34.44392371056792,36.5014612688705,33.55623652943,32.85709327448517,32.217543532991094,31.577738518644736,33.483019349682884,31.821063661864542,33.77972865148955,34.84213414634888,31.781827447460305,32.90960432591687,92.39292748381853,32.92091587591996,33.844135564219215,33.49769095779883,33.07015476145481,32.095822638931516,34.40404909905829,32.26877323312228,29.672593751519337,32.579562346667124,31.70704803967626
32,91.97991034741905,86.35459046890504,88.94320001267589,89.63082316907804,92.0529735186432,89.41231131275151,90.06617123395937,90.9777710390584,94.16169264336784,105.57355028457503,90.69412833720007,88.72579550770757,91.74147499851287,91.23864253656487,89.80742003791575,107.49478202742127,166.3380067373128,91.55321600873943,89.8385128016002,88.66310432135516,90.89784386187404,87.93309018248074,88.30933088298164,90.46341227814528,90.21934995484553,88.99438877751264,91.61358689131622,89.0056749975297,91.4272319958097,91.6778936197711,91.51387506949469,101.72395028712118,88.6453158405308,107.93507909008369,89.66630290557107,91.99431168663277,89.39888618113694,89.5933454325628,92.03419565140723,91.56035956162863,88.53847894131464
31,201.51587719927525,202.19431587834868,198.16267722784542,201.50416107983253,199.10637647087228,201.70151380538633,200.97269418665172,197.8025025026257,195.05305608551086,201.26022222220416,196.69376776336114,197.0273535533876,205.44279324776045,201.84527680828234,204.8928050435345,200.86326327978958,200.81767394255516,201.17933746299693,200.93856751780393,264.50779805616884,193.0861042116309,198.34085697766034,199.2131492141996,201.81870640340514,198.19462965318283,201.11408978321862,201.65454448634432,195.2429564009094,214.635755903804,184.31694062970226,201.31364773573694,216.90762563232852,201.4228797938026,192.2822470554304,201.546700820173,193.8744288154393,201.87787538253713,206.80977178669667,197.65035856037605,187.91101416970454,197.33504431200012
30,326.31767200013974,320.34895374656213,324.0847205956219,309.0822191369557,318.7663820127094,323.71228876654163,319.9641379952275,323.49775886089463,323.56708498898246,323.763714434984,318.5675861456009,322.3470808108178,317.1045457910727,327.59218387836825,318.1615878646822,321.1500138170232,328.3570540773692,328.8674096645065,320.10067923560587,324.4939428622413,318.2969713705861,314.06186055475575,323.4200361753242,322.3225553113624,313.8226441870734,317.6435325098669,311.1150883742212,324.2706168883391,323.74290055777067,326.99674142821044,325.1531638248738,325.2927607046307,312.55246167138864,320.921573086225,316.90425740229733,324.32574543058377,329.28060168477066,327.2747383357858,329.2726269727833,324.38300517319465,320.3619483345311
37,-37.89544285199712,-38.57831882038679,-40.85835542744095,-39.47317574646341,-41.536302768090245,-39.85492022945965,-41.33395650951002,-41.546840905077545,-43.169515640822944,-37.936222636563855,-38.6198876095527,-42.447204481900975,-38.14360934949409,-40.51544857259594,-41.13518757180478,-40.54740457975637,-37.761801522981855,-41.1923596250368,-41.21039518707284,-40.22555274913977,-38.539388561859354,-38.763841946239395,-38.48303871643267,-38.4383866931714,-40.51786252036314,-40.43121082850749,-41.45846871346228,42.08019672412055,-38.977998331334234,-39.424801415423254,-40.98269804369852,-43.13837857649688,-38.20241643900841,-41.165776407895756,-41.125624058822936,-38.94448524199135,-39.06124001830942,-43.00890262637321,-42.18288029017422,-40.4649114426891,-40.535845576769695
36,-81.59904683624566,-58.49097079453277,-82.48162185427569,-83.19839187739147,-83.50628874174915,-82.13163207683112,-84.20210916985553,-82.95086850597832,-82.178205731297,-84.11117180438441,-82.01019899941579,-82.47488756298988,-83.98846772437771,-84.48078026938325,-81.8387820520282,-84.84153758639923,-84.423754268095,-82.98025922241459,-84.38792278904491,-83.4099047619402,-83.35734303641058,-81.74205614051408,-81.70750428717866,-82.27894068357614,-83.43568586830511,-83.91333911228139,-83.7841938179288,-84.55488799116078,-81.93859931349775,-84.10046661077723,-81.82827870755264,-84.12413790340553,-83.80401753831933,-83.3264351612996,-81.66510762875346,-84.0987827217185,-84.4553111031371,-82.43772554498244,-84.49936542958486,-81.72828760475657,-82.72850840112676
35,-47.46986858713042,-46.12652233647006,-46.121468788421,-47.929896482530495,-45.90680094185294,-49.18545740525501,-50.547205586488886,-45.74663876328871,-47.57144610434119,-46.73184775957727,-32.32691560989623,-46.80304376670852,-45.77362564211828,-48.60188672722242,-45.36390729439075,-45.704975702409484,-46.58827730075712,-49.345029775019825,-45.41056662343629,-46.40706669193249,-45.25798934031405,-49.048294731908975,-48.3352231237546,-49.06674916723919,-45.662959767057885,-45.978592040777,-45.44568090710945,-45.618695693963595,-46.24964446150559,-51.12789521663878,-45.2417221062982,-46.231673257185285,-47.30001931547974,-49.12315945939341,-45.40238207512053,-47.94711067840791,-45.298656104596844,-45.322503202404775,-45.36683484827642,-46.070794788714586,-45.933105705946055
34,-12.341617813601044,-12.39707028666797,-12.292433196667302,-13.876273915895197,-14.183672115299009,-13.038676493043603,-12.339000487315216,-13.61841239103748,-13.971264910910783,-14.42719369810555,-12.806601417383781,-12.337449872453979,-13.486618970685972,-14.52059177928097,-14.324503956732553,-12.88451933822453,37.50052825270907,-12.222061353905072,-10.654385974371586,-12.319533053139999,-13.180835952658999,-14.24354143704388,-14.36226940765261,-14.612024305530444,-13.521730386260682,-12.318359741774303,-13.56583765661114,-12.236304348092979,-14.122371799005787,-10.079763826984241,-14.851944353421937,-14.345460611335886,-12.140076495200999,-12.678430208802911,-13.8127531118155,-14.896710447805525,-15.161670713484433,-14.176924510264488,-12.611824614657412,-12.34367348850514,-14.652610275395169
